timestamp,minutes_to_gate,best_bid,best_ask,mid_price,micro_price,spread_eur,bid_depth_mw,ask_depth_mw,ofi,traded_volume_mw,trade_price_eur,vwap_eur
2026-08-22 18:31:00,89.0,82.52,83.53,83.03,83.34,1.01,32.6,7.7,0.617,6,83.33,85.0
2026-08-22 18:32:00,88.0,82.55,83.58,83.06,83.16,1.03,28.5,19.8,0.181,5,83.2,84.96
2026-08-22 18:33:00,87.0,81.64,83.01,82.32,82.6,1.37,32.5,13.8,0.403,6,82.49,84.9
2026-08-22 18:34:00,86.0,82.0,83.37,82.68,82.97,1.37,38.5,15.9,0.415,6,82.98,84.85
2026-08-22 18:35:00,85.0,81.71,83.47,82.59,82.93,1.77,31.4,13.9,0.385,11,82.98,84.77
2026-08-22 18:36:00,84.0,81.91,83.28,82.59,82.63,1.36,21.4,19.0,0.059,8,82.78,84.71
2026-08-22 18:37:00,83.0,81.03,82.27,81.65,81.89,1.25,29.3,13.1,0.384,7,81.8,84.64
2026-08-22 18:38:00,82.0,80.25,81.55,80.9,81.21,1.29,31.3,11.1,0.476,12,81.18,84.49
2026-08-22 18:39:00,81.0,80.14,81.57,80.86,81.11,1.43,34.2,16.2,0.358,4,81.13,84.44
2026-08-22 18:40:00,80.0,80.49,81.9,81.2,81.29,1.41,29.2,22.2,0.135,11,81.38,84.33
2026-08-22 18:41:00,79.0,80.7,82.01,81.35,81.57,1.31,34.1,17.3,0.327,13,81.54,84.22
2026-08-22 18:42:00,78.0,80.74,82.06,81.4,81.69,1.32,29.1,11.4,0.438,10,81.78,84.14
2026-08-22 18:43:00,77.0,80.79,82.02,81.4,81.55,1.23,27.0,16.4,0.243,11,81.4,84.05
2026-08-22 18:44:00,76.0,80.1,81.32,80.71,80.97,1.22,30.9,12.5,0.424,9,80.87,83.97
2026-08-22 18:45:00,75.0,79.35,80.85,80.1,80.23,1.5,24.9,17.6,0.172,8,80.26,83.88
2026-08-22 18:46:00,74.0,79.41,81.2,80.31,80.49,1.8,29.8,19.7,0.206,9,80.38,83.79
2026-08-22 18:47:00,73.0,80.06,81.33,80.7,80.88,1.27,29.8,16.7,0.28,6,80.78,83.74
2026-08-22 18:48:00,72.0,80.2,81.39,80.79,80.98,1.19,30.7,15.8,0.32,11,80.94,83.66
2026-08-22 18:49:00,71.0,79.2,80.62,79.91,80.26,1.42,34.6,11.9,0.489,7,80.32,83.6
2026-08-22 18:50:00,70.0,79.56,80.69,80.13,80.26,1.13,24.6,15.0,0.242,8,80.11,83.53
2026-08-22 18:51:00,69.0,79.35,80.47,79.91,80.06,1.13,32.5,19.1,0.26,6,80.07,83.48
2026-08-22 18:52:00,68.0,78.91,80.2,79.56,79.72,1.29,31.4,19.2,0.243,12,79.8,83.37
2026-08-22 18:53:00,67.0,79.11,80.68,79.89,80.1,1.57,24.3,14.2,0.262,10,80.08,83.29
2026-08-22 18:54:00,66.0,79.59,80.87,80.23,80.31,1.28,27.3,21.3,0.122,15,80.28,83.19
2026-08-22 18:55:00,65.0,80.16,81.32,80.74,80.85,1.15,28.2,19.4,0.184,11,80.88,83.13
2026-08-22 18:56:00,64.0,79.58,80.93,80.26,80.6,1.34,35.1,11.5,0.505,14,80.58,83.05
2026-08-22 18:57:00,63.0,79.63,80.79,80.21,80.3,1.16,29.0,21.6,0.146,13,80.41,82.98
2026-08-22 18:58:00,62.0,79.75,81.33,80.54,80.67,1.57,27.9,19.7,0.172,10,80.59,82.93
2026-08-22 18:59:00,61.0,79.99,81.63,80.81,81.1,1.64,28.8,13.9,0.351,9,81.09,82.9
2026-08-22 19:00:00,60.0,79.83,81.3,80.57,80.82,1.47,28.8,14.0,0.346,10,80.84,82.85
2026-08-22 19:01:00,59.0,79.57,81.12,80.35,80.55,1.54,29.7,17.1,0.269,15,80.52,82.79
2026-08-22 19:02:00,58.0,79.23,80.74,79.99,79.98,1.51,21.6,22.2,-0.014,6,79.75,82.75
2026-08-22 19:03:00,57.0,78.74,80.2,79.47,79.62,1.47,23.5,15.3,0.21,12,79.61,82.68
2026-08-22 19:04:00,56.0,79.24,80.48,79.86,79.92,1.24,23.4,19.4,0.092,11,79.99,82.63
2026-08-22 19:05:00,55.0,79.77,81.18,80.48,80.55,1.4,24.3,19.6,0.107,10,80.61,82.59
2026-08-22 19:06:00,54.0,79.76,81.14,80.45,80.64,1.38,34.2,19.7,0.268,11,80.67,82.55
2026-08-22 19:07:00,53.0,80.21,81.69,80.95,81.16,1.48,30.0,16.8,0.282,15,81.07,82.52
2026-08-22 19:08:00,52.0,79.7,81.87,80.79,80.83,2.17,23.9,22.0,0.042,13,80.86,82.48
2026-08-22 19:09:00,51.0,80.03,81.4,80.71,80.71,1.37,23.8,24.1,-0.007,13,80.66,82.44
2026-08-22 19:10:00,50.0,79.84,81.65,80.74,80.86,1.81,23.7,18.3,0.129,11,80.89,82.41
2026-08-22 19:11:00,49.0,80.77,82.45,81.61,81.74,1.69,22.6,16.4,0.157,10,81.75,82.4
2026-08-22 19:12:00,48.0,80.62,82.39,81.51,81.56,1.77,23.4,20.6,0.065,14,81.49,82.38
2026-08-22 19:13:00,47.0,81.5,83.35,82.42,82.67,1.85,27.3,15.7,0.268,14,82.6,82.39
2026-08-22 19:14:00,46.0,80.28,82.01,81.14,81.41,1.73,28.2,14.9,0.308,10,81.44,82.37
2026-08-22 19:15:00,45.0,80.67,82.21,81.44,81.5,1.53,20.0,17.1,0.079,10,81.48,82.36
2026-08-22 19:16:00,44.0,80.79,82.24,81.52,81.64,1.44,22.9,16.3,0.169,13,81.57,82.34
2026-08-22 19:17:00,43.0,80.44,82.3,81.37,81.36,1.86,24.7,25.4,-0.014,17,81.28,82.32
2026-08-22 19:18:00,42.0,80.66,82.15,81.41,81.5,1.49,27.6,21.6,0.121,14,81.47,82.3
2026-08-22 19:19:00,41.0,79.81,81.44,80.63,80.74,1.63,26.4,19.8,0.143,16,80.87,82.27
2026-08-22 19:20:00,40.0,79.5,81.74,80.62,80.74,2.24,26.3,21.0,0.111,16,80.7,82.24
2026-08-22 19:21:00,39.0,79.82,81.52,80.67,80.74,1.7,20.1,17.2,0.077,14,80.73,82.21
2026-08-22 19:22:00,38.0,79.95,82.12,81.04,81.31,2.17,25.9,15.4,0.254,14,81.32,82.19
2026-08-22 19:23:00,37.0,79.65,82.01,80.83,80.95,2.36,22.7,18.6,0.099,18,80.86,82.16
2026-08-22 19:24:00,36.0,79.4,81.57,80.49,80.56,2.17,21.6,18.9,0.067,18,80.42,82.13
2026-08-22 19:25:00,35.0,79.56,81.4,80.48,80.38,1.83,20.4,25.1,-0.104,17,80.3,82.09
2026-08-22 19:26:00,34.0,80.05,82.23,81.14,81.2,2.18,26.2,23.3,0.058,17,81.22,82.07
2026-08-22 19:27:00,33.0,79.66,81.92,80.79,80.84,2.26,28.0,25.6,0.045,12,80.85,82.05
2026-08-22 19:28:00,32.0,79.82,82.25,81.04,80.89,2.42,18.8,23.8,-0.118,18,80.95,82.03
2026-08-22 19:29:00,31.0,79.47,82.31,80.89,80.97,2.84,25.6,23.1,0.051,16,80.97,82.01
2026-08-22 19:30:00,30.0,79.52,81.94,80.73,80.79,2.42,23.4,21.3,0.045,14,80.78,81.99
2026-08-22 19:31:00,29.0,80.22,82.37,81.29,81.39,2.15,21.1,17.6,0.091,17,81.34,81.98
2026-08-22 19:32:00,28.0,80.2,82.07,81.14,81.12,1.87,25.9,26.9,-0.018,16,81.19,81.97
2026-08-22 19:33:00,27.0,80.01,81.92,80.97,80.94,1.91,24.7,26.2,-0.029,20,80.87,81.95
2026-08-22 19:34:00,26.0,79.54,81.78,80.66,80.54,2.24,17.4,21.5,-0.104,21,80.45,81.91
2026-08-22 19:35:00,25.0,79.17,81.35,80.26,80.22,2.18,20.2,21.8,-0.038,16,80.26,81.89
2026-08-22 19:36:00,24.0,79.32,81.28,80.3,80.2,1.96,18.9,23.1,-0.099,18,80.1,81.86
2026-08-22 19:37:00,23.0,79.3,81.48,80.39,80.02,2.18,15.7,31.4,-0.334,21,80.22,81.82
2026-08-22 19:38:00,22.0,78.89,81.8,80.34,79.88,2.9,17.4,33.7,-0.319,18,79.89,81.79
2026-08-22 19:39:00,21.0,79.08,81.34,80.21,80.31,2.26,26.1,22.1,0.084,26,80.33,81.75
2026-08-22 19:40:00,20.0,78.49,81.05,79.77,79.44,2.56,17.8,30.4,-0.261,20,79.38,81.71
2026-08-22 19:41:00,19.0,78.43,80.61,79.52,79.62,2.18,28.5,23.8,0.091,22,79.6,81.67
2026-08-22 19:42:00,18.0,78.09,80.44,79.26,79.0,2.35,22.2,35.2,-0.225,20,78.96,81.62
2026-08-22 19:43:00,17.0,76.98,80.31,78.64,78.66,3.34,23.9,23.5,0.008,20,78.61,81.57
2026-08-22 19:44:00,16.0,77.77,80.22,79.0,78.64,2.45,18.6,33.9,-0.292,24,78.69,81.51
2026-08-22 19:45:00,15.0,77.82,80.65,79.23,78.95,2.83,20.3,30.3,-0.199,22,78.91,81.47
2026-08-22 19:46:00,14.0,78.37,81.36,79.87,79.23,2.99,14.9,36.7,-0.422,19,79.32,81.43
2026-08-22 19:47:00,13.0,78.57,81.53,80.05,79.69,2.95,16.6,27.2,-0.242,25,79.91,81.4
2026-08-22 19:48:00,12.0,78.7,81.41,80.05,79.64,2.71,14.2,26.6,-0.303,26,79.62,81.37
2026-08-22 19:49:00,11.0,78.64,81.37,80.0,79.73,2.73,18.9,28.1,-0.196,29,79.75,81.33
2026-08-22 19:50:00,10.0,77.9,80.77,79.34,79.08,2.87,16.5,23.5,-0.176,27,79.11,81.29
2026-08-22 19:51:00,9.0,77.88,80.84,79.36,78.89,2.95,16.1,31.0,-0.317,31,79.04,81.23
2026-08-22 19:52:00,8.0,77.62,81.49,79.56,78.91,3.87,14.7,29.5,-0.336,30,78.9,81.18
2026-08-22 19:53:00,7.0,78.7,81.8,80.25,79.8,3.1,20.3,37.0,-0.292,27,79.73,81.16
2026-08-22 19:54:00,6.0,78.51,81.73,80.12,79.68,3.22,16.8,29.5,-0.274,34,79.58,81.12
2026-08-22 19:55:00,5.0,78.53,82.1,80.32,79.36,3.57,11.4,38.1,-0.539,26,79.35,81.09
2026-08-22 19:56:00,4.0,78.83,81.9,80.37,79.98,3.07,22.9,38.6,-0.255,31,79.94,81.07
2026-08-22 19:57:00,3.0,78.28,81.86,80.07,78.89,3.58,8.5,41.2,-0.659,30,79.05,81.03
2026-08-22 19:58:00,2.0,78.58,82.26,80.42,79.68,3.68,16.0,37.8,-0.405,31,79.82,81.0
2026-08-22 19:59:00,1.0,79.0,82.35,80.68,79.77,3.35,10.5,35.4,-0.542,33,79.68,80.98
